id,player1,player2,deck1,deck2,result,date
1,1,2,1,2,2,12-18-23
2,1,5,1,3,2,12-18-23
3,1,13,1,4,2,12-18-23
4,1,3,1,5,1,12-18-23
5,1,14,1,6,2,12-18-23
6,1,15,1,7,2,12-18-23
7,2,5,2,3,1,12-18-23
8,2,3,2,5,2,12-18-23
9,2,14,2,6,2,12-18-23
10,5,13,3,4,2,12-18-23
11,5,3,3,5,1,12-18-23
12,5,14,3,6,2,12-18-23
13,5,15,3,7,2,12-18-23
14,13,3,4,5,2,12-18-23
15,13,14,4,6,2,12-18-23
16,13,15,4,7,2,12-18-23
17,3,14,5,6,1,12-18-23
18,3,15,5,7,1,12-18-23
19,14,15,6,7,2,12-18-23
20,1,2,8,9,1,12-31-23
21,1,4,8,10,1,12-31-23
22,1,5,8,11,1,12-31-23
23,1,11,8,12,1,12-31-23
24,1,6,8,13,1,12-31-23
25,2,5,9,3,1,12-31-23
26,2,11,9,12,1,12-31-23
27,2,6,9,13,1,12-31-23
28,4,5,10,11,1,12-31-23
29,4,11,10,12,2,12-31-23
30,4,6,10,13,1,12-31-23
31,5,6,11,13,2,12-31-23
32,1,8,14,16,2,1-5-24
33,1,10,14,17,1,1-5-24
34,1,9,14,18,2,1-5-24
35,1,6,14,19,1,1-5-24
36,4,8,15,16,2,1-5-24
37,4,10,15,17,1,1-5-24
38,4,9,15,18,2,1-5-24
39,4,6,15,19,2,1-5-24
40,8,9,16,18,1,1-5-24
41,8,6,16,19,1,1-5-24
42,10,9,17,18,2,1-5-24
43,9,6,18,19,1,1-5-24
45,1,5,20,23,2,11-5-24
46,1,5,20,23,2,11-5-24
47,1,2,20,21,2,11-5-24
48,1,2,20,21,2,11-5-24
49,1,11,20,25,2,11-5-24
50,4,12,22,26,1,11-5-24
51,4,11,22,25,1,11-5-24
52,4,7,22,27,2,11-5-24
53,4,7,22,27,2,11-5-24
54,5,12,23,26,2,11-5-24
55,5,12,23,26,2,11-5-24
56,5,6,23,24,1,11-5-24
57,5,6,23,24,1,11-5-24
58,12,2,26,21,1,11-5-24
59,12,2,26,21,2,11-5-24
60,12,2,26,21,2,11-5-24
61,2,7,21,27,2,11-5-24
62,11,6,25,24,2,11-5-24
63,11,6,25,24,2,11-5-24
64,6,7,24,27,2,11-5-24
65,6,7,24,27,2,11-5-24
66,1,2,28,29,1,5-15-25
67,1,7,28,30,1,5-15-25
68,1,4,28,31,1,5-15-25
69,1,12,28,32,1,5-15-25
70,2,7,29,30,2,5-15-25
71,2,12,29,32,1,5-15-25
72,7,4,30,31,1,5-15-25
73,7,12,30,32,1,5-15-25
74,4,12,31,32,2,5-15-25
75,7,6,37,38,1,5-23-25
76,1,12,33,35,2,5-23-25
77,4,7,36,37,1,5-23-25
78,12,6,35,38,1,5-23-25
79,1,2,33,34,2,5-23-25
80,6,1,38,33,1,5-23-25
81,7,16,37,39,1,5-23-25
82,2,7,34,37,1,5-23-25
83,2,4,34,36,1,5-23-25
84,12,4,35,36,1,5-23-25
85,2,16,34,39,1,5-23-25
86,12,7,35,37,1,5-23-25
87,2,12,34,35,1,5-23-25
88,4,1,36,33,2,5-23-25
89,1,4,40,43,1,6-5-25
90,1,7,40,44,1,6-5-25
91,1,2,40,41,1,6-5-25
92,2,12,41,42,1,6-5-25
93,7,6,44,45,1,6-5-25
94,12,6,42,45,1,6-5-25
95,4,6,43,45,2,6-5-25
96,4,7,43,44,1,6-5-25
97,12,7,42,44,1,6-5-25
98,1,4,46,49,1,6-14-25
99,1,2,46,47,1,6-14-25
100,1,7,46,50,1,6-14-25
101,1,12,46,48,2,6-14-25
102,1,6,46,51,1,6-14-25
103,4,2,49,47,2,6-14-25
104,4,7,49,50,2,6-14-25
105,4,12,49,48,2,6-14-25
106,4,12,49,48,2,6-14-25
107,4,6,49,51,2,6-14-25
108,2,7,47,50,2,6-14-25
109,2,12,47,48,2,6-14-25
110,2,6,47,51,2,6-14-25
111,7,12,50,48,1,6-14-25
112,7,6,50,51,1,6-14-25
113,7,6,50,51,2,6-14-25
114,7,6,50,51,2,6-14-25
115,12,6,48,51,2,6-14-25
116,12,6,48,51,1,6-14-25
117,12,6,48,51,1,6-14-25
118,12,6,48,51,2,6-14-25
119,12,6,48,51,1,6-14-25